"Techstack","Links"
"Computer Vision, OpenCV, Python","https://example.com/computer-vision-portfolio"
"IoT, Raspberry Pi, MQTT","https://example.com/iot-portfolio"
"UI/UX, Figma, Adobe XD","https://example.com/ui-ux-portfolio"
"Progressive Web Apps, Angular, Firebase","https://example.com/pwa-portfolio"
"Automation, Selenium, Python","https://example.com/automation-portfolio"
"Content Management, Drupal, PHP","https://example.com/drupal-portfolio"
"Virtualization, VMware, vSphere","https://example.com/virtualization-portfolio"
"DevSecOps, Snyk, SonarQube","https://example.com/devsecops-portfolio"
"Data Warehousing, Snowflake, ETL","https://example.com/data-warehousing-portfolio"
"API Development, GraphQL, Apollo","https://example.com/api-development-portfolio"
"Cross-platform, Flutter, Dart","https://example.com/flutter-dart-portfolio"
"Streaming Platforms, Kafka, RabbitMQ","https://example.com/streaming-platforms-portfolio"
"CI/CD, CircleCI, GitLab","https://example.com/cicd-portfolio"
"Low-Code, Mendix, OutSystems","https://example.com/low-code-portfolio"
"Game Engine, Godot, GDScript","https://example.com/godot-portfolio"
"Data Analytics, Pandas, Matplotlib","https://example.com/data-analytics-portfolio"
"Configuration Management, Ansible, Chef","https://example.com/config-management-portfolio"
"Functional Programming, Elixir, Phoenix","https://example.com/functional-programming-portfolio"
"Server-side Rendering, Next.js, Node.js","https://example.com/server-side-rendering-portfolio"
"Web Scraping, Scrapy, BeautifulSoup","https://example.com/web-scraping-portfolio"
"Headless CMS, Strapi, GraphQL","https://example.com/headless-cms-portfolio"
"Testing, Cypress, Jest","https://example.com/testing-portfolio"
"ERP Systems, SAP, ABAP","https://example.com/erp-portfolio"
"Data Visualization, D3.js, Plotly","https://example.com/data-visualization-portfolio"
"Fintech, Python, QuantLib","https://example.com/fintech-portfolio"
"CI/CD, Jenkins, ArgoCD","https://example.com/cicd-argo-portfolio"
"Multi-cloud, Terraform, Ansible","https://example.com/multi-cloud-portfolio"
"Application Security, OWASP, Burp Suite","https://example.com/application-security-portfolio"
"Telecom, 5G, OpenRAN","https://example.com/telecom-portfolio"
"Mobile Payments, Stripe, React Native","https://example.com/mobile-payments-portfolio"
"Smart Contracts, Ethereum, Solidity","https://example.com/smart-contracts-portfolio"
"Digital Twins, Azure Digital Twins, IoT Hub","https://example.com/digital-twins-portfolio"
"Analytics, Tableau, Python","https://example.com/analytics-portfolio"
"Game Scripting, Lua, Unity","https://example.com/game-scripting-portfolio"
"Edge AI, Nvidia Jetson, TensorFlow Lite","https://example.com/edge-ai-portfolio"
"3D Modeling, Blender, Python","https://example.com/3d-modeling-portfolio"
"DevOps, GitOps, FluxCD","https://example.com/devops-gitops-portfolio"
"Cloud Security, AWS IAM, CloudTrail","https://example.com/cloud-security-portfolio"
"Robotic Process Automation, UiPath, Blue Prism","https://example.com/rpa-portfolio"
